格式：
词根 释义(附加)
单词 释义

nov 新(new)
novel 新颖的
novel coronavirus 新冠
innovate 创新
novation 更新
novice 新手
renovate 翻新

uni 唯一(one)
unique 独特的
uniped 独脚的
pedel 脚踏板
unify 统一

tri 三(three)
tricycle 三轮车
tribe 部落
triangle 三角形
trilingual 三种语言的

bene 好(fine bpf)
benevolence 慈善(vol:will)
benign 善良的

vol 意愿(will)
benign
volunteer
volition 意志力

dur 坚硬的
endure 忍受
obdurate 顽固的

philo 爱(love)
sophy 智慧(wise vwph)
zoophile 爱护动物者
bibliophilist 书籍收藏家
sophist 学者
sophomore 大学二年级
freshman 大学一年级

equ 平等的
inequity 不平等
equator 赤道
equilvalent 等值的(val 价值)

med mid 中间(middle)
medium 媒介,媒体，中介
midiate 调解
immediate 即刻的(没有中间)
intermediate 中间的
mediocre 平庸的

sect 切
section 鄣分
insect 昆虫
sector 部门
bisect 平分
dissect 解剖
intersection 十字路口

flor 花(flower)
flourish 繁荣的
floral 花一样的
florid 装饰华丽的
defloration 摘花，蹂躏
florist 花匠

urb 城市
urban 城市的
village 乡村
urbane 城市气派的
exurb 远郊
suburb 郊区
conurbation 大都市

sign 签各
significant 有意义的
resign 辞职
consign 把……委托给

fin 末尾，界限（pen）
finance 资金
definition 定义
infinite 无限的

it 走(exit）
transit 穿过(trans：通过）
obit 葬礼

fac 做
facile 易做到的
faculty 全体教员
defect  缺点

vol，volv 卷（roll）
evolve 进化
revolve 旋转
revolve aroound 以……为中心
revolution 革命
reform 改革

sol 单独的
sole 单独的
solitary 单独的
solitude 独处
isolate 隔离

min 小，少
minority 少数民族(ority:团体)
diminish 减弱
minus 负的

soci 关系
associate 联系
sociable 交际的
sociology 社会学
dissociate 使分离

ject 扔
reject 拒
inject 注射
projector 投影仪
eject 驱逐
subject 学科
jet 喷气式飞机

ped 脚(food bpfph)
pedestrian 步行者
expedition 考
impede 妨碍
pedicure 修脚

just 正义
justice 正义
justify 证明合法
adjust 调整
injury 损害

vers 转
avert 转移
controversy 争论
reverse 倒车档
reverse the trend 扭转趋势
conversatior 谈话
adversity 逆境

vid,vis 看
visual 视觉的
visualize 想象
vision 视力
envision 想象
envisage 想象
provident 有先见之名的
evidence 证据
revise 修正

liter 字母(letter:信)
literature 文学
literacy 识字
literate 文化人
obliterate 抹掉
preliterate 尚无文字的

mag 大(max)
magnificent 宏伟的
magnify 放大
magnitude 巨大
maximal 最大的

tract 拉
attract 吸引
tractor 拖拉机
contract 合同
distract 使分心
subtract 减去

sol 与太阳有关的(sun)
solar 太阳的
insolation 中暑
desolate 凄凉的
turnsole 向日葵

radi 根（ra地）
radical 根本的
eradicate 根除
radiate 辐射，发散
radiant 辐射的
radioaction 放射性的
radium 镭

pose 摆放
expose 暴露(reveal disclose uncovef)
compose 组成
composition 作文\品\曲
composite 合成的
propose 求婚，提名，提议
dispose 扔掉，处理
Man proposes, God disposes 尽人事，听天命（人提议，上天处理）
oppose 反对(object)
opponent 敌人
depose 废除
deposit 定金
impose 强加

press 压
depress 使抑郁
suppress 镇压
repress 抑制，忍住

duce 引导（堵车）
produce 引起
product 产品
induce 引诱(tempt)
deduce 推理
educe 显现
traduce 中伤（戳我）
introduce 介绍
reduce 减少

gress 走
grass 草
regress 退化(recede)
aggressive 激进的
aggressive treatment 激进的治疗方法
transgress 越轨

form 形式
conform 相符
uniform 统一的
uniformity 统一性
reform 改革
transform 改变
formula 公式
formulate 用公式表式

vade 走
invade 入侵(intrude)
pervade 遍及（permeate)
pervasive 普遍的
evade 逃出（escape）

spire 气
inspire 使有灵感
expire 死亡，到期
conspire 合作
aspire 立志
spirit 精神

sens 感觉
sence 意义
nonsense 胡说
presentiment 预感
consent 同意(grant)
resent 反感(hatred)
sensible 合理的(rational)
sensitive 敏感的
sentiment 感情
sentimental 多愁善感的

claim 喊
claim 声称(affirm allege assert)
proclaim 宣布(announce pronounce declare)
reclaim 拿回，改正，回收再利用
acclaim 喝彩
exclaim 惊呼

flu 流
affluent 富裕的
superfluous 过多的
fluctuate 波动
fluctuation swing

nounce 说
denounce 譴责

clude 关
preclude 防止
conclude 结论

dom 房屋
domain 领土
domestic 国内的
gross domestic produce 国内生产总值
dominate 控制
dominant 占优势的
predominate 占主导地位

ceive
receive 收到
conceive 怀孕
perceive 感觉
deceive 欺骗

vac 空
vacation 假期
vacant 空着的
evacuate 疏散
vacuum 真空

cred 相信
credit 信用，学分
credible 可以相信的
credulous 轻信的
accredit 委派
creed 信条
credential 凭证

tend 伸手
extend 扩展
contend 竞争，声称
intend 打算
pretend 假装
attend 照G料

not 知
notify 通知(inform)
note 便条
notable 值得注意的(remarkable)
noteworthy 值得注意的
notice 公告
notion 见解
notorious 臭各昭著的

mot 移动
promote 促销
demote 降级
remote 偏僻的，久远的
remote control 遥控器
emotion 情绪
emotional damage 精神伤害
motive 动机
motion 运动
motor 发动机

sist 站
assist 帮助
persist 坚持
consist 由……组成
insist 坚持
resist 抑制
irresistible 无法抵抗的

spr 散开
spray 喷撒
sprawl 蔓延
spread 伸开
sprinkle 洒
sprout 发芽，毛发生长

stitute 站
institute 学院
constitute 组成
destitute 贫穷的
substitute 替代品

sign 标记
signify 表示
signal 信号
assign 分配
assignment 作业

spect 看

vok 喊
provoke 引起
evoke 引起
revoke 撤销
advocate 提倡

serve 保护
reserve 保留
preserve 维护
conserve 保护

tribute 给
attribute 归因于

priv 单个
deprive 剥夺

mit 发送
commit 致力于
permit 允许
admit 承认
emit 发出

struct 建造
structure 结构
construct 建设
instruct 指导
obstruct 阻塞

dic，dict 说
addict 上瘾
contradict 反驳
indicate 暗示
indict 控告

scribe 写
ascribe 归因于
inscribe 题写
prescribe 规定

hibit
exhibit 展览
prohibit 禁止

pel 推
expel 逐出
propel 推动
compel 强迫
dispel 消除
impel 迫便
repel 击退

